user_id,course_id,state
U511908,C126767,active
U139455,C300581,active
U297015,C696253,active
U192467,C732380,active
U387250,C628944,active
U387250,C424294,active
U346561,C628944,active
U144991,C032306,active
U387250,C165687,active
U144991,C967824,active
U266829,C628944,deleted
U139455,C732380,active
U812256,C904302,active
U144991,C628944,active
U824115,C732380,active
U144991,C628944,active
U806445,C069987,active
U979173,C300581,active
U180698,C035962,active
U346561,C300581,active
U812256,C165687,active
U346561,C696253,active
U977454,C424294,active
U812256,C732380,active
U977454,C732380,active
U966556,C165687,deleted
U266829,C424294,active
U192467,C628944,active
U966556,C165687,active
U812256,C696253,active
U917218,C628944,active
U144991,C035962,deleted
U216074,C696253,active
U511908,C032306,active
U192467,C069987,active
U917218,C032306,active
U652606,C300581,active
U297015,C035962,active
U511908,C967824,active
U652606,C032306,active
U292615,C035962,active
U346561,C165687,active
U387250,C300581,active
U872282,C165687,active
U917218,C696253,active
U966556,C696253,active
U292615,C696253,active
U652606,C696253,active
U917218,C424294,deleted
U966556,C069987,active
U652606,C424294,deleted
U180698,C696253,active
U824115,C300581,active
