state,course_name,course_id
active,Air warfare,C494738
active,Mathematics,C921807
active,Astronautics,C300581
active,Judiciary,C032306
active,Botany,C963278
deleted,Feelings,C126767
active,Weather forecasting,C212550
deleted,Satire,C663390
active,Diseases,C289566
active,Investing,C145137
active,Budgeting,C967824
active,Canoeing,C165687
active,"Abortion, law",C732380
active,Substance abuse,C696253
active,Conservation,C313224
active,Depression glass,C439738
deleted,Holidays,C069987
active,Kitchen remodeling,C222487
active,Patents,C424294
active,French language,C035962
active,Suicide,C628944
