course_id,state,user_id
C165687,active,U872282
C126767,active,U443006
C494738,active,U346561
C222487,active,U176749
C696253,deleted,U297015
C069987,active,U387250
C732380,deleted,U507687
C035962,active,U617555
C126767,active,U819537
C069987,deleted,U812256
C035962,active,U401211
C032306,active,U511908
C628944,active,U144991
C628944,active,U192467
C663390,active,U938803
C289566,active,U806445
C424294,deleted,U917218
C963278,active,U700516
C126767,active,U877257
C069987,active,U806445
C222487,active,U652606
C035962,active,U443006
C165687,active,U966556
C696253,active,U917218
C126767,active,U511908
C069987,active,U192467
C300581,active,U387250
C696253,deleted,U346561
C300581,deleted,U346561
C032306,deleted,U144991
C732380,active,U812256
C424294,active,U266829
C921807,deleted,U139455
C300581,active,U652606
C300581,active,U824115
C035962,active,U144991
C439738,active,U139455
C165687,active,U387250
C967824,deleted,U144991
C035962,deleted,U476616
C696253,active,U443006
C696253,active,U966556
C628944,active,U917218
C300581,active,U139455
C967824,active,U917218
C696253,active,U652606
C628944,active,U144991
C424294,active,U700672
C069987,active,U966556
C732380,active,U824115
C696253,deleted,U917218
C424294,active,U977454
C628944,deleted,U266829
C035962,active,U192467
C165687,active,U966556
C300581,active,U979173
C165687,active,U346561
C035962,deleted,U292615
C696253,deleted,U812256
C126767,active,U443006
C732380,active,U139455
C628944,active,U346561
C628944,active,U387250
C032306,active,U917218
C732380,active,U917218
C732380,deleted,U977454
C145137,deleted,U833377
C035962,deleted,U979173
C145137,deleted,U266829
C126767,active,U531649
C696253,deleted,U180698
C732380,active,U192467
C628944,active,U700516
C628944,deleted,U700672
C967824,active,U511908
C165687,active,U812256
C696253,deleted,U292615
C424294,deleted,U387250
C032306,deleted,U652606
C439738,deleted,U938803
C921807,active,U215381
C035962,active,U180698
C035962,active,U297015
C424294,deleted,U652606
C069987,active,U511908
