course_name,course_id,state
French language,C035962,active
Substance abuse,C696253,active
Air warfare,C494738,active
Satire,C663390,deleted
Judiciary,C032306,active
Kitchen remodeling,C222487,active
Canoeing,C165687,active
Conservation,C313224,active
Botany,C963278,active
"Abortion, law",C732380,active
Budgeting,C967824,active
Investing,C145137,active
Feelings,C126767,deleted
Holidays,C069987,deleted
Suicide,C628944,active
Witchcraft,C215152,active
Diseases,C289566,active
Depression glass,C439738,active
Patents,C424294,active
Weather forecasting,C212550,active
Mathematics,C921807,active
Astronautics,C300581,active
