course_id,state,course_name
C165687,active,Natural religion
C424294,active,Patents
C289566,active,Diseases
C126767,deleted,Feelings
C035962,active,French language
C212550,active,Weather forecasting
C145137,active,Investing
C921807,active,Jokes
C300581,active,Astronautics
C732380,active,"Abortion, law"
C222487,active,Kitchen remodeling
C628944,active,Suicide
C313224,active,Conservation
C069987,deleted,Holidays
C961976,deleted,Elections
C439738,active,Depression glass
C215152,active,Witchcraft
C696253,active,Substance abuse
C663390,deleted,Satire
C963278,active,Botany
C967824,active,Budgeting
C494738,active,Air warfare
C032306,active,Judiciary
